loan_amnt,term,int_rate,credit,emp_length,home_ownership,annual_inc,dti,bad_loans
5650, 36 months,18.85,3,4,MORTGAGE,58000.0,29.61,1
20000, 60 months,18.25,3,1,RENT,102000.0,9.26,1
6000, 60 months,16.82,2,2,RENT,44301.0,17.77,1
30000, 60 months,24.5,1,8,MORTGAGE,111000.0,21.24,1
24000, 36 months,11.49,5,4,MORTGAGE,92000.0,24.74,0
10000, 36 months,13.68,4,8,RENT,50000.0,17.02,1
10000, 36 months,12.69,5,7,MORTGAGE,100000.0,15.17,0
16000, 36 months,12.99,5,11,MORTGAGE,66382.0,15.42,1
11250, 36 months,14.27,4,3,RENT,40000.0,19.92,0
5200, 36 months,15.96,4,2,RENT,30000.0,11.72,0
4000, 36 months,18.64,2,11,RENT,47000.0,12.94,1
8000, 60 months,12.99,4,1,OWN,55000.0,12.92,0
4000, 36 months,5.42,6,9,MORTGAGE,50000.0,15.65,0
12375, 36 months,11.49,5,11,MORTGAGE,56000.0,20.04,0
12000, 60 months,18.79,2,11,RENT,40000.0,20.52,1
2000, 36 months,11.71,5,11,OWN,34500.0,16.56,0
6000, 36 months,9.99,5,10,MORTGAGE,100000.0,12.68,0
20000, 60 months,14.79,4,4,MORTGAGE,66950.0,24.82,1
10000, 36 months,15.22,4,6,RENT,75000.0,13.73,1
19000, 36 months,11.99,5,4,MORTGAGE,105000.0,11.59,1
7500, 36 months,11.49,5,6,MORTGAGE,45500.0,18.78,1
15000, 36 months,12.42,5,7,OWN,155000.0,17.85,0
9600, 60 months,10.65,5,9,MORTGAGE,102400.0,11.26,0
10000, 36 months,16.29,3,6,MORTGAGE,120000.0,12.84,1
15000, 36 months,16.7,2,1,RENT,60225.0,2.11,1
13750, 36 months,6.03,6,1,MORTGAGE,76875.0,6.99,0
6000, 60 months,18.67,1,7,RENT,24000.0,8.05,1
6000, 36 months,10.99,5,9,MORTGAGE,56000.0,17.06,0
7200, 60 months,19.91,2,7,RENT,69000.0,4.21,1
5000, 36 months,15.33,3,4,MORTGAGE,19200.0,8.81,1
12000, 36 months,6.62,6,5,RENT,30000.0,15.32,0
16000, 36 months,6.03,6,3,RENT,143000.0,13.93,0
6000, 36 months,13.49,4,11,MORTGAGE,85000.0,12.3,1
12250, 60 months,14.27,4,7,MORTGAGE,55000.0,21.43,0
3200, 36 months,11.71,5,11,MORTGAGE,81100.0,19.5,0
4000, 36 months,13.99,4,6,RENT,86095.0,11.46,0
3000, 36 months,13.3,3,1,RENT,35244.0,24.79,1
8000, 36 months,9.91,5,3,RENT,34000.0,18.28,0
7750, 36 months,7.51,6,2,MORTGAGE,21424.0,23.24,1
10000, 36 months,12.21,5,3,RENT,92004.0,10.45,1
19200, 36 months,14.65,4,10,MORTGAGE,88900.0,12.63,0
10000, 36 months,11.49,5,8,MORTGAGE,88560.0,11.22,0
2900, 36 months,9.62,5,7,MORTGAGE,70992.0,20.79,1
