loan_amnt,term,int_rate,credit,emp_length,home_ownership,annual_inc,purpose,dti,bad_loans
25975, 60 months,16.77,D,10+ years,MORTGAGE,110000.0,debt_consolidation,22.32,1
5000, 36 months,14.09,B,10+ years,OWN,32000.0,debt_consolidation,27.34,1
10000, 36 months,10.16,B,10+ years,MORTGAGE,53000.0,debt_consolidation,23.8,1
16000, 60 months,16.29,C,5 years,MORTGAGE,75000.0,debt_consolidation,14.93,1
7700, 36 months,15.61,C,9 years,MORTGAGE,60000.0,debt_consolidation,29.78,0
10000, 36 months,14.64,C,10+ years,RENT,108000.0,debt_consolidation,6.2,0
9775, 36 months,19.99,E,< 1 year,RENT,114000.0,house,2.65,0
21200, 36 months,13.11,B,< 1 year,MORTGAGE,60000.0,home_improvement,25.29,1
10000, 36 months,14.47,C,10+ years,MORTGAGE,149000.0,debt_consolidation,17.17,0
6700, 36 months,14.16,C,2 years,MORTGAGE,45000.0,debt_consolidation,11.09,1
18900, 60 months,16.59,D,10+ years,RENT,50000.0,debt_consolidation,12.0,0
5000, 36 months,10.99,B,10+ years,MORTGAGE,80000.0,major_purchase,30.23,0
26500, 60 months,23.63,F,10+ years,RENT,60000.0,debt_consolidation,13.54,1
8000, 60 months,19.72,D,5 years,MORTGAGE,77480.0,home_improvement,17.49,1
12000, 36 months,9.17,B,< 1 year,MORTGAGE,38500.0,debt_consolidation,18.05,0
15000, 36 months,17.77,D,7 years,RENT,65000.0,debt_consolidation,22.86,1
6600, 36 months,15.31,C,6 years,RENT,46000.0,debt_consolidation,23.32,0
14000, 36 months,14.64,C,6 years,RENT,90000.0,credit_card,7.64,1
12000, 36 months,9.67,B,2 years,RENT,60000.0,credit_card,26.84,0
21000, 36 months,10.99,B,10+ years,MORTGAGE,150000.0,debt_consolidation,10.58,0
6400, 36 months,13.65,C,10+ years,MORTGAGE,81000.0,debt_consolidation,3.59,0
8275, 36 months,24.08,F,10+ years,RENT,91000.0,major_purchase,8.34,0
7400, 36 months,9.76,B,1 year,RENT,40000.0,credit_card,23.49,1
6000, 36 months,18.49,D,3 years,OWN,50000.0,debt_consolidation,24.43,1
5000, 36 months,12.12,B,4 years,RENT,45000.0,debt_consolidation,13.44,1
17000, 60 months,15.31,C,6 years,MORTGAGE,45000.0,major_purchase,29.17,1
20000, 36 months,17.27,C,10+ years,RENT,125000.0,credit_card,8.22,1
18000, 36 months,16.24,C,10+ years,MORTGAGE,82000.0,debt_consolidation,7.71,0
10200, 36 months,13.53,B,10+ years,MORTGAGE,79000.0,debt_consolidation,15.78,0
17050, 60 months,21.18,E,< 1 year,MORTGAGE,42760.0,credit_card,23.18,1
5000, 36 months,19.47,D,3 years,RENT,37500.0,debt_consolidation,14.27,0
8000, 36 months,8.9,A,10+ years,RENT,72000.0,debt_consolidation,11.07,0
17600, 60 months,11.14,B,4 years,MORTGAGE,50000.0,small_business,4.27,1
7000, 36 months,12.49,B,8 years,MORTGAGE,51000.0,debt_consolidation,13.98,0
15000, 36 months,16.24,C,10+ years,RENT,120000.0,credit_card,13.74,0
6000, 36 months,13.35,C,10+ years,MORTGAGE,58000.0,debt_consolidation,12.04,0
9250, 36 months,11.14,B,6 years,RENT,82000.0,debt_consolidation,16.72,1
9000, 36 months,10.99,B,6 years,MORTGAGE,80000.0,debt_consolidation,13.85,0
10000, 36 months,16.77,D,10+ years,RENT,70000.0,debt_consolidation,13.46,1
5000, 36 months,10.99,B,3 years,MORTGAGE,33300.0,credit_card,5.84,0
10000, 36 months,10.74,B,1 year,MORTGAGE,102000.0,other,5.18,1
8225, 36 months,14.65,C,4 years,RENT,65000.0,debt_consolidation,13.29,1
7600, 60 months,19.22,D,10+ years,RENT,34425.0,vacation,15.2,1
20000, 60 months,18.75,D,10+ years,RENT,60000.0,debt_consolidation,13.22,1
12175, 36 months,20.49,E,10+ years,MORTGAGE,52000.0,debt_consolidation,28.76,0
12000, 36 months,13.11,B,9 years,MORTGAGE,68000.0,debt_consolidation,16.71,1
5000, 36 months,22.45,E,4 years,MORTGAGE,31800.0,car,14.91,0
3825, 36 months,14.98,C,8 years,RENT,93000.0,debt_consolidation,14.59,0
12000, 36 months,14.16,C,3 years,MORTGAGE,52500.0,debt_consolidation,23.25,0
7000, 36 months,10.15,B,< 1 year,RENT,80000.0,credit_card,10.37,0
16000, 60 months,18.25,D,10+ years,MORTGAGE,70000.0,home_improvement,19.0,0
10000, 36 months,13.99,C,10+ years,MORTGAGE,65000.0,debt_consolidation,4.74,1
8000, 36 months,11.71,B,6 years,OWN,33000.0,debt_consolidation,21.16,1
33025, 60 months,20.2,E,2 years,MORTGAGE,87000.0,debt_consolidation,25.67,1
29175, 60 months,21.49,E,10+ years,RENT,73000.0,debt_consolidation,0.53,1
19050, 36 months,17.57,D,10+ years,MORTGAGE,53000.0,debt_consolidation,11.12,0
10000, 36 months,10.99,B,5 years,RENT,50000.0,credit_card,10.37,0
10000, 36 months,14.16,C,3 years,RENT,45000.0,debt_consolidation,22.59,0
3600, 36 months,17.99,D,1 year,RENT,39000.0,credit_card,5.7,1
20000, 36 months,7.69,A,10+ years,MORTGAGE,85000.0,debt_consolidation,23.95,1
7200, 36 months,11.14,B,2 years,MORTGAGE,42000.0,debt_consolidation,7.4,1
25600, 60 months,13.98,C,10+ years,OWN,232000.0,car,15.55,0
