credit,term,income,y
excellent,3yrs,middle,safe
fair,3yrs,low,safe
excellent,3yrs,low,safe
poor,3yrs,middle,risky
excellent,3yrs,low,safe
excellent,5yrs,low,safe
excellent,3yrs,low,safe
poor,3yrs,high,risky
fair,3yrs,low,safe
excellent,3yrs,middle,safe
excellent,3yrs,middle,safe
excellent,5yrs,middle,safe
excellent,3yrs,middle,safe
fair,5yrs,middle,risky
excellent,3yrs,middle,safe
excellent,3yrs,middle,risky
poor,5yrs,middle,risky
fair,3yrs,middle,safe
fair,3yrs,middle,safe
fair,3yrs,high,risky
excellent,3yrs,high,risky
poor,5yrs,middle,risky
excellent,3yrs,middle,risky
fair,3yrs,middle,risky
fair,3yrs,middle,safe
fair,3yrs,low,safe
excellent,3yrs,middle,safe
excellent,3yrs,middle,risky
fair,3yrs,high,risky
excellent,3yrs,middle,safe
excellent,3yrs,middle,risky
excellent,3yrs,middle,safe
excellent,3yrs,middle,safe
fair,5yrs,middle,risky
excellent,5yrs,middle,safe
excellent,3yrs,low,safe
excellent,3yrs,middle,safe
poor,5yrs,middle,safe
excellent,3yrs,low,safe
poor,5yrs,middle,risky
poor,3yrs,low,safe
fair,5yrs,middle,risky
fair,3yrs,low,safe
poor,3yrs,middle,risky
fair,5yrs,middle,safe
fair,3yrs,low,safe
fair,5yrs,middle,risky
fair,3yrs,middle,safe
fair,3yrs,middle,risky
excellent,3yrs,middle,safe
poor,3yrs,middle,risky
excellent,3yrs,low,safe
excellent,3yrs,low,safe
excellent,3yrs,low,safe
excellent,3yrs,low,safe
excellent,3yrs,low,safe
excellent,3yrs,middle,safe
excellent,3yrs,low,safe
fair,3yrs,middle,safe
poor,3yrs,high,risky
fair,3yrs,middle,safe
excellent,3yrs,middle,safe
excellent,5yrs,high,risky
excellent,3yrs,low,safe
excellent,3yrs,middle,safe
fair,3yrs,middle,safe
fair,3yrs,low,safe
excellent,3yrs,middle,safe
excellent,3yrs,middle,risky
poor,5yrs,middle,safe
poor,5yrs,high,risky
fair,5yrs,middle,risky
poor,3yrs,high,risky
excellent,3yrs,middle,safe
excellent,3yrs,low,safe
poor,3yrs,low,safe
poor,3yrs,low,safe
excellent,3yrs,low,safe
fair,3yrs,low,safe
fair,3yrs,middle,risky
fair,3yrs,low,safe
excellent,3yrs,middle,safe
excellent,3yrs,low,safe
excellent,3yrs,middle,safe
fair,3yrs,middle,risky
excellent,3yrs,low,safe
excellent,3yrs,middle,safe
excellent,5yrs,middle,safe
excellent,3yrs,low,safe
fair,3yrs,low,safe
poor,5yrs,low,safe
fair,5yrs,middle,safe
poor,5yrs,middle,risky
excellent,3yrs,middle,risky
excellent,3yrs,low,safe
excellent,3yrs,middle,safe
excellent,3yrs,high,risky
excellent,3yrs,middle,safe
excellent,3yrs,low,safe
fair,5yrs,high,risky
fair,3yrs,middle,risky
fair,3yrs,middle,safe
poor,5yrs,high,risky
fair,3yrs,high,risky
excellent,3yrs,middle,risky
fair,3yrs,low,safe
poor,5yrs,middle,risky
fair,3yrs,low,safe
fair,3yrs,low,safe
excellent,3yrs,middle,risky
fair,3yrs,middle,risky
excellent,3yrs,middle,risky
poor,3yrs,middle,safe
fair,3yrs,middle,safe
poor,5yrs,high,risky
fair,3yrs,low,safe
excellent,3yrs,low,safe
fair,3yrs,middle,safe
excellent,3yrs,middle,risky
fair,3yrs,middle,risky
excellent,3yrs,middle,safe
fair,3yrs,middle,safe
excellent,3yrs,low,safe
fair,3yrs,low,safe
excellent,3yrs,middle,safe
fair,3yrs,low,safe
fair,5yrs,middle,safe
excellent,3yrs,middle,safe
poor,3yrs,middle,safe
poor,5yrs,middle,risky
fair,3yrs,middle,safe
excellent,3yrs,low,safe
fair,3yrs,high,risky
excellent,3yrs,low,safe
fair,5yrs,high,risky
fair,3yrs,middle,safe
fair,3yrs,middle,safe
poor,5yrs,middle,safe
excellent,3yrs,middle,safe
poor,5yrs,high,risky
